date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:44	122730/122730	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2004:32:58%20GMT	http://pixner.net/sbidu/main/index.html	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/index.html	(from )
19:28:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20May%202021%2013:58:45%20GMT	http://pixner.net/robots.txt		(from )
19:28:46	159515/159515	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2015:36:18%20GMT	http://pixner.net/sbidu/main/assets/css/bootstrap.min.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/bootstrap.min.css	(from http://pixner.net/sbidu/main/index.html)
19:28:46	57180/57180	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	http://pixner.net/sbidu/main/assets/css/all.min.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/all.min.css	(from http://pixner.net/sbidu/main/index.html)
19:28:47	65186/65186	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jun%202020%2008:04:32%20GMT	http://pixner.net/sbidu/main/assets/css/animate.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/animate.css	(from http://pixner.net/sbidu/main/index.html)
19:28:47	4093/4093	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	http://pixner.net/sbidu/main/assets/css/nice-select.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/nice-select.css	(from http://pixner.net/sbidu/main/index.html)
19:28:48	4365/4365	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	http://pixner.net/sbidu/main/assets/css/owl.min.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/owl.min.css	(from http://pixner.net/sbidu/main/index.html)
19:28:48	6836/6836	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	http://pixner.net/sbidu/main/assets/css/magnific-popup.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/magnific-popup.css	(from http://pixner.net/sbidu/main/index.html)
19:28:49	1776/1776	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2007:27:12%20GMT	http://pixner.net/sbidu/main/assets/css/flaticon.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/flaticon.css	(from http://pixner.net/sbidu/main/index.html)
19:28:49	30753/30753	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Apr%202020%2017:40:10%20GMT	http://pixner.net/sbidu/main/assets/css/jquery-ui.min.css	C:/Users/LENOVO/Desktop/demo/pixner.net/sbidu/main/assets/css/jquery-ui.min.css	(from http://pixner.net/sbidu/main/index.html)
